From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,RF
2019-03-01 0:00:00,2019-03-01 1:00:00,,70,0.85,2.6,2.1,3.3,0.95,0.4,56.77,30.05,75.25,1.45,254.25,21,756.25,27.98,0
2019-03-01 1:00:00,2019-03-01 2:00:00,,69.5,0.85,2.03,1.8,3.27,0.47,0.35,56.97,29.98,76,1.42,260,21,755.5,27.8,0
2019-03-01 2:00:00,2019-03-01 3:00:00,26,77,0.75,2.4,1.88,3.4,0.15,0.35,57.4,29.98,76.5,1.6,248.75,21,754,27.62,0
2019-03-01 3:00:00,2019-03-01 4:00:00,26,76.75,1.1,1.6,1.73,4.33,0.3,0.29,70.97,29.98,78.25,1.32,259.5,21,754,27.23,0
2019-03-01 4:00:00,2019-03-01 5:00:00,22,75.75,1.02,1.65,1.68,3.15,0.8,0.3,57.2,29.9,79,1.35,258.75,21,754,26.98,0
2019-03-01 5:00:00,2019-03-01 6:00:00,22,76.25,0.83,1.97,1.75,3.15,1.5,0.32,57.97,29.9,80,1.65,266.5,21,754,26.83,0
2019-03-01 6:00:00,2019-03-01 7:00:00,21,81,1.05,3.32,2.6,3.05,2.3,0.39,53.25,29.9,79,1.48,267,22,754.75,26.8,0
2019-03-01 7:00:00,2019-03-01 8:00:00,25.75,86.75,1.1,5.3,3.68,3.2,3.92,0.48,49.98,29.95,77.25,1.38,254.5,100,756.25,27.4,0
2019-03-01 8:00:00,2019-03-01 9:00:00,39.5,95,1.02,4.95,3.5,3.12,2.92,0.44,58.88,29.92,72,2.12,256.5,267.5,757.5,28.58,0
2019-03-01 9:00:00,2019-03-01 10:00:00,35.25,94,1.1,8.78,5.53,2.82,1.77,0.59,62.25,30.1,66.75,2.55,242.25,407.5,759,29.6,0
2019-03-01 10:00:00,2019-03-01 11:00:00,29.5,92.75,1.45,8.8,5.85,3.12,1.25,0.63,73.3,30.65,64.25,2.17,245.75,530.25,758.75,30.58,0
2019-03-01 11:00:00,2019-03-01 12:00:00,39.75,98,1.02,5.62,3.52,3.52,1.93,0.63,95.58,31.32,61,1.8,254.75,717.5,757.5,32.08,0
2019-03-01 12:00:00,2019-03-01 13:00:00,48,101.25,0.43,5.95,3.5,3.9,5.4,0.73,100.28,32.03,66,4,205.75,736.25,755.5,31.1,0
2019-03-01 13:00:00,2019-03-01 14:00:00,,111,1.05,4.85,3.38,3.95,5.05,0.71,99.8,32.25,67,4.08,201,711.75,754.25,30.73,0
2019-03-01 14:00:00,2019-03-01 15:00:00,32.75,97.75,1.02,4.9,3.42,3.73,3.05,0.68,85.72,32.55,65.5,3.45,197,616.25,752.25,30.93,0
2019-03-01 15:00:00,2019-03-01 16:00:00,31.5,91,0.88,5.5,3.67,3.8,2.7,0.74,82.57,32.75,65.75,3.12,185.25,486.75,751.5,30.9,0
2019-03-01 16:00:00,2019-03-01 17:00:00,37.75,99.75,1.35,7.3,5,3.62,4.38,0.69,73.17,32.8,66.75,2.67,170.75,280.75,751.5,30.57,0
2019-03-01 17:00:00,2019-03-01 18:00:00,34,98.5,1.3,9.3,5.97,3.7,7.72,0.81,70.55,32.5,68.75,2.27,175,114,752,29.8,0
2019-03-01 18:00:00,2019-03-01 19:00:00,,97.75,1.23,9.9,6.3,3.52,8.35,0.74,63.77,31.62,70.75,1.82,173.25,23,752.75,29.22,0
2019-03-01 19:00:00,2019-03-01 20:00:00,,100.25,1.75,9.15,6.33,3.62,16.98,0.64,63.48,30.75,72,1.52,164.75,21,754,29.05,0
