From Date,To Date,PM2.5,PM10,NO,NO2,NOx,NH3,SO2,CO,Ozone,Temp,RH,WS,WD,SR,BP,AT,RF
2021-01-01 00:00:00,2021-01-01 01:00:00,28.75,45.25,3.58,18.48,12.78,12.47,9.25,1.1,12.93,29.02,82.5,0.3,335,11.75,754.5,23.32,0
2021-01-01 01:00:00,2021-01-01 02:00:00,25,40.25,4.83,17.42,13.18,11.88,8.25,1.13,13.05,29.02,83,0.3,327.25,12,754,23.3,0
2021-01-01 02:00:00,2021-01-01 03:00:00,18.25,41.25,3.55,17.98,12.5,13.4,7.8,1.1,10.18,29.02,83.75,0.3,349,12,753,23.2,0
2021-01-01 03:00:00,2021-01-01 04:00:00,23,37.75,3.15,12.22,9.07,14.93,8.78,0.89,10,29.12,83.25,0.5,348.75,12,753,23.08,0
2021-01-01 04:00:00,2021-01-01 05:00:00,17,25,3.15,13.62,9.18,10.35,8.2,0.85,15.88,29,82,0.6,348,12,753,23.05,0
2021-01-01 05:00:00,2021-01-01 06:00:00,9.25,24.25,3.6,10.12,8.28,10.7,7.5,0.78,17.83,29.08,82.25,0.3,348.75,12,753,22.7,0
2021-01-01 06:00:00,2021-01-01 07:00:00,13,16,3.75,18.53,12.9,11.07,6.83,0.89,15.55,29,82,0.3,349,12.5,753.5,22.7,0
2021-01-01 07:00:00,2021-01-01 08:00:00,17.5,29.5,2.5,12.2,8.5,11.8,6.95,0.94,21.77,29,76.5,0.3,349,88.5,754.25,23.3,0
2021-01-01 08:00:00,2021-01-01 09:00:00,37,50,3.3,12.82,9.47,13.15,8.47,1.03,23.95,29.08,70.5,0.3,347.5,278.75,755,25.15,0
2021-01-01 09:00:00,2021-01-01 10:00:00,25.75,51.5,5.1,14.55,11.88,13.4,8.97,0.68,37.75,29.08,59,0.3,327.25,406,755,27.5,0
2021-01-01 10:00:00,2021-01-01 11:00:00,18.5,43,3.35,13.78,10.03,14.88,8.82,0.52,41.75,29.4,53.5,1.6,338.75,455.5,755.25,27.58,0
2021-01-01 11:00:00,2021-01-01 12:00:00,17.75,33.25,4.62,4.7,6.25,11.78,10.55,0.42,44.65,29.27,52.75,1.73,348.75,402.25,755,27.23,0
2021-01-01 12:00:00,2021-01-01 13:00:00,20,39.5,84.65,34.42,86.37,10.62,8.8,0.65,46,29.33,51,1.43,338.25,488.5,754.75,28.05,0
2021-01-01 13:00:00,2021-01-01 14:00:00,19,38.75,3.55,8.85,7.58,9.43,9.88,0.77,47.82,29.2,52.75,2.15,310,475,754,27.9,0
2021-01-01 14:00:00,2021-01-01 15:00:00,16,41,4.65,15.73,12.18,9.65,9.43,0.9,42.88,29.05,59,2.8,257.25,413.75,754,27.35,0
2021-01-01 15:00:00,2021-01-01 16:00:00,17.75,37,4.65,17.73,13.2,8.9,9.57,0.94,42.83,29.1,59.75,2.12,250.75,218,753,26.9,0
2021-01-01 16:00:00,2021-01-01 17:00:00,13.5,42.5,5.42,22.67,16.48,8.72,10.35,0.99,40.1,29.1,61.5,1.9,248.5,135.25,753,26.47,0
